anonymous_id,channel_id,language,age_group,primary_profession,primary_location,primary_interest
anon_03fd48416819,2388099820,en,unknown,unspecified,unspecified,general
anon_34d6f031af8a,2388099820,en,unknown,unspecified,unspecified,general
anon_354297352509,2388099820,en,unknown,student,unspecified,competitive_exams
anon_8d493b3427fc,2388099820,en,unknown,unspecified,unspecified,general
anon_9d76b982d63c,2388099820,en,unknown,unspecified,unspecified,general
anon_02c0820da94a,2388099820,en,unknown,unspecified,unspecified,general
anon_ea9537cd308a,2388099820,en,unknown,unspecified,unspecified,general
anon_1c71d7b15aac,2388099820,en,unknown,unspecified,unspecified,general
anon_a2708a21c0cd,2388099820,en,unknown,unspecified,unspecified,competitive_exams
anon_704affa340bc,2388099820,en,unknown,unspecified,unspecified,general
anon_801ce556e22a,2388099820,en,unknown,unspecified,unspecified,general
anon_ffec9e928097,2388099820,en,unknown,unspecified,unspecified,general
anon_c17800d6781f,2388099820,en,unknown,unspecified,unspecified,general
anon_7cc4edb81fe7,2388099820,en,unknown,unspecified,unspecified,general
anon_b8e0767e7097,2388099820,en,unknown,student,unspecified,general
anon_f077188c93f9,2388099820,en,unknown,unspecified,unspecified,general
anon_af2c4514acbe,2388099820,en,unknown,unspecified,unspecified,general
anon_81177dc242eb,2388099820,en,unknown,unspecified,unspecified,general
anon_56b1139b33bb,2388099820,en,unknown,unspecified,unspecified,general
anon_d4dddd10e1a2,2388099820,en,unknown,unspecified,unspecified,general
anon_12c8a757f3d8,2388099820,en,unknown,unspecified,unspecified,general
anon_ec4ba0496785,2388099820,en,unknown,unspecified,unspecified,general
anon_2cbff11f6816,2388099820,en,unknown,student,unspecified,competitive_exams
anon_05c005f9d621,2388099820,en,unknown,student,unspecified,competitive_exams
anon_11bdcaf28fa8,2388099820,en,unknown,student,unspecified,competitive_exams
anon_37c1d7aece0c,2388099820,en,unknown,unspecified,unspecified,general
anon_e71692482907,2388099820,en,unknown,unspecified,unspecified,general
anon_b5c2b80956be,2388099820,en,unknown,unspecified,unspecified,general
anon_4c02bde53e22,2388099820,en,unknown,student,unspecified,competitive_exams
anon_367de5048b4f,2388099820,en,unknown,unspecified,unspecified,general
anon_1d099e87fc1d,2388099820,en,unknown,unspecified,unspecified,entertainment
anon_88eac26283f4,2388099820,en,unknown,unspecified,unspecified,general
anon_6b0f9f5246d7,2388099820,en,unknown,unspecified,unspecified,general
anon_534e6c078a7e,2388099820,en,unknown,unspecified,unspecified,general
anon_ea2d73a450ad,2388099820,en,unknown,unspecified,delhi_ncr,general
anon_552c794737b9,2388099820,en,unknown,unspecified,unspecified,general
anon_8dd103581f7c,2388099820,en,unknown,unspecified,unspecified,general
anon_394d29f25c65,2388099820,en,unknown,unspecified,unspecified,general
anon_2c646f9de0c9,2388099820,en,unknown,unspecified,unspecified,general
