user_id,username,bio,language,verified,age,age_group,location,profession,interests
tg_8602823606,Drdoomhero,,,False,,unknown,[],[],[]
tg_7797764184,Tarun7282,,,False,,unknown,[],[],[]
tg_1059886617,Kumar19k,,,False,,unknown,[],[],[]
tg_1084005910,Ram_2037_47,,,False,,unknown,[],[],[]
tg_8284100094,,Ever tried .Ever failed. No matter. Try again. Fail again. Fail better,,False,,unknown,[],[],[]
tg_6889107256,cdrrrr09,,,False,,unknown,[],[],[]
tg_490730287,MANOFFOCUS21,,,False,,unknown,[],[],[]
tg_1007687033,Dharmesh0145,,,False,,unknown,[],[],[]
tg_8861799497,Iqra_69,✨SHEELAM - PARAM - BHUSHANAM 🕊️,,False,,unknown,[],[],[]
tg_6020456352,Depressedhubro,,,False,,unknown,[],[],[]
tg_6451387854,Monish_1717,,,False,,unknown,[],[],[]
tg_652599193,ABC98DU,Real hapiness is enjoying the scenery when on a detour,,False,,unknown,[],[],[]
tg_5222202542,Mayank305,,,False,,unknown,[],[],[]
tg_1142218165,Truthe2032,,,False,,unknown,[],[],[]
tg_1095261624,namanshriii,,,False,,unknown,[],[],[]
tg_8038905295,fomo_20041,,,False,,unknown,[],[],[]
tg_2078779632,itz_luffyz,,,False,,unknown,[],[],[]
tg_8715503547,userxyz10,.env,,False,,unknown,[],[],[]
tg_607621128,,"UPSC CDS 21, UP-SI 21, SSC CGL 21 selected",,False,,unknown,[],['student'],['education']
tg_6319333994,DiplomaticRobot,,,False,,unknown,[],[],[]
tg_1307975610,AkSoni095,,,False,,unknown,[],[],[]
tg_8046793455,Rogeron7,,,False,,unknown,[],[],[]
tg_300860929,SangMata_BOT,,,False,,unknown,[],[],[]
