user_id,pagerank,betweenness,degree,community_id
tg_8715503547,0.025,0.0,1.0,0
tg_1323414416,0.025,0.0,1.0,0
tg_6319333994,0.025,0.0,1.0,0
tg_1007687033,0.025,0.0,1.0,0
tg_8046793455,0.025,0.0,1.0,0
tg_8772259189,0.025,0.0,1.0,0
tg_8038905295,0.025,0.0,1.0,0
tg_1084005910,0.025,0.0,1.0,0
tg_1141293208,0.025,0.0,1.0,0
tg_6020456352,0.025,0.0,1.0,0
tg_8602823606,0.025,0.0,1.0,0
tg_7815814560,0.025,0.0,1.0,0
tg_300860929,0.025,0.0,1.0,0
tg_490730287,0.025,0.0,1.0,0
tg_1059886617,0.025,0.0,1.0,0
tg_7720539843,0.025,0.0,1.0,0
tg_8339524414,0.025,0.0,1.0,0
tg_2078779632,0.025,0.0,1.0,0
tg_7797764184,0.025,0.0,1.0,0
tg_1142218165,0.025,0.0,1.0,0
tg_5665928604,0.025,0.0,1.0,0
tg_8915466995,0.025,0.0,1.0,0
tg_8861799497,0.025,0.0,1.0,0
tg_5273695543,0.025,0.0,1.0,0
tg_6451387854,0.025,0.0,1.0,0
tg_1095261624,0.025,0.0,1.0,0
tg_8284100094,0.025,0.0,1.0,0
tg_7679503985,0.025,0.0,1.0,0
tg_8523757378,0.025,0.0,1.0,0
tg_6889107256,0.025,0.0,1.0,0
tg_607621128,0.025,0.0,1.0,0
tg_1307975610,0.025,0.0,1.0,0
tg_1469456078,0.025,0.0,1.0,0
tg_-1004336888423,0.025,0.0,1.0,0
tg_1545468301,0.025,0.0,1.0,0
tg_1706817850,0.025,0.0,1.0,0
tg_5222202542,0.025,0.0,1.0,0
tg_1470894462,0.025,0.0,1.0,0
tg_652599193,0.025,0.0,1.0,0
tg_1714166353,0.025,0.0,1.0,0
