message_id,channel_id,user_id,timestamp,text,sentiment_emotion,confidence,polarity_score
354063,2388099820,tg_300860929,2026-09-17 20:03:48,User 8632871875 changed name from 🦩 to 🥮,neutral:neutral,0.8327303,0.0
354061,2388099820,tg_8602823606,2026-09-17 18:57:26,You can download from scribd,neutral:neutral,0.8097856,0.0
354058,2388099820,tg_300860929,2026-09-17 18:05:25,User 8884092102 changed name from <link> to S,neutral:neutral,0.86703706,0.0
354055,2388099820,tg_7797764184,2026-09-17 18:04:29,Does anyone have history as an optional subject?,neutral:curiosity,0.89159733,0.0
354054,2388099820,tg_300860929,2026-09-17 17:39:27,User 8016950584 changed name from Sachin to S M,neutral:neutral,0.88536614,0.0
354052,2388099820,tg_7815814560,2026-09-17 17:23:13,"GS 4-

You should have notes for everything mentioned in the syllabus.

Really scoring subject. One can score as high as 150+",neutral:neutral,0.51549613,0.0
354051,2388099820,tg_7815814560,2026-09-17 17:23:12,"GS3

This can be a scoring paper if you have your content ready, as they have been asking multidimensional questions in this paper

Following topics notes are mych essential-

1) Budget
2) Food processing ( 2 page notes)
3) MSP & PDS
4) Land reforms
5) S & T- only application oriented- bio tech, robotics, nano tech

6) Internal Security ( make notes on every topic mentioned in the syllabus)

7) Disaster Management",positive:neutral,0.58933926,0.58933926
354050,2388099820,tg_7815814560,2026-09-17 17:23:12,"GS 2

1)Local government bodies
2) Judiciary 
3) Separation of power
4) Centre State Relations 
5) Social Justice
6) Governance ( little different from Ethics)
7) International Relations",neutral:neutral,0.86541486,0.0
354049,2388099820,tg_7815814560,2026-09-17 17:23:11,"GS 1-

Art and Culture, History, Geography, world history- class notes would be sufficient 

Society portion - make proper notes",neutral:neutral,0.80874896,0.0
354048,2388099820,tg_7815814560,2026-09-17 17:23:11,"Chat GPT made it quite easy to make notes on each and every topic.

You should have some notes atleast ready with you.",positive:neutral,0.81714284,0.81714284
354047,2388099820,tg_7815814560,2026-09-17 17:23:10,"I hope mains preparation is going on in paced manner.

For those appearing for the first time-

Write as many tests you can. It will definitely help you in mains.",positive:optimism,0.8123245,0.8123245
354046,2388099820,tg_1142218165,2026-09-17 17:14:26,Same,neutral:neutral,0.5904832,0.0
354043,2388099820,tg_5273695543,2026-09-17 17:13:07,Please send me,neutral:neutral,0.66134715,0.0
354042,2388099820,tg_5273695543,2026-09-17 17:12:51,Does anybody has pdf of this book?,neutral:curiosity,0.93558794,0.0
354040,2388099820,tg_5273695543,2026-09-17 17:12:39,,unprocessed,0.0,0.0
354039,2388099820,tg_1084005910,2026-09-17 16:21:15,Nhi Jalane hai bhai hme,negative:neutral,0.36700675,-0.36700675
354038,2388099820,tg_6020456352,2026-09-17 16:20:40,Idhr sbse diye jalwaye jarhe h mandir me,neutral:neutral,0.7847654,0.0
354036,2388099820,tg_490730287,2026-09-17 16:08:23,"Madhukar kotawe daalo youtube prr mil jaayega sbh, topics ki list bnaa lo aur pdh lo",negative:neutral,0.3468438,-0.3468438
354035,2388099820,tg_1007687033,2026-09-17 16:08:01,Kaha se bro,neutral:amusement,0.74896204,0.0
354034,2388099820,tg_490730287,2026-09-17 16:07:23,"Sir ne almost sbh free pdhaya huaa h Yat prr, aur haan csat toh same rhtaa h toh vhii se dekh lo if possible",positive:neutral,0.3584777,0.3584777
354033,2388099820,tg_8284100094,2026-09-17 16:05:27,Anyone from Batch -7 saarthi ias ??,neutral:curiosity,0.9267549,0.0
354032,2388099820,tg_300860929,2026-09-17 16:02:07,User 6889107256 changed name from Mahendra Singh Dhoni to Mahendra Singh Dhoni,neutral:neutral,0.90563345,0.0
354031,2388099820,tg_6889107256,2026-09-17 16:02:06,kisi koi koi bhi pw upsc ka batch chahiye to d karo saste me mil jayega,neutral:neutral,0.35550386,0.0
354029,2388099820,tg_1007687033,2026-09-17 16:01:05,Group ke link send kar do plz ya mujhe add karo do,neutral:neutral,0.38277477,0.0
354028,2388099820,tg_300860929,2026-09-17 16:00:30,User 8523757378 changed name from K R to . .,neutral:neutral,0.906172,0.0
354026,2388099820,tg_1007687033,2026-09-17 15:59:36,Latest unka,neutral:neutral,0.85226494,0.0
354025,2388099820,tg_1007687033,2026-09-17 15:59:27,Class hai kya bhai,positive:neutral,0.3674611,0.3674611
354024,2388099820,tg_490730287,2026-09-17 15:57:59,"Madhukar kotawe sir se krr lo bht better h voh, vaaki hindi m jydaa ni ptaa csat krne ke liye",neutral:neutral,0.7753203,0.0
354023,2388099820,tg_1007687033,2026-09-17 15:56:51,Koi plz ye bataye ki upsc csat hindi medium me best koun se sir ka hai,negative:neutral,0.34430516,-0.34430516
354022,2388099820,tg_8861799497,2026-09-17 15:47:54,If anyone have History optional test series in English plx share ( vision ias / level up ias or Next ias),neutral:neutral,0.89307016,0.0
354021,2388099820,tg_8046793455,2026-09-17 15:32:40,Nacho,neutral:neutral,0.5975417,0.0
354020,2388099820,tg_1323414416,2026-09-17 15:31:35,Edubaba map,neutral:neutral,0.8137768,0.0
354019,2388099820,tg_6020456352,2026-09-17 15:31:21,Modi ji ke janmdin ki hardik shubhkamnaye,neutral:neutral,0.8229802,0.0
354018,2388099820,tg_6451387854,2026-09-17 15:18:05,Koi hindu ya indian express newspaper ka channel h kya telegram par,neutral:neutral,0.50076795,0.0
354016,2388099820,tg_300860929,2026-09-17 15:00:43,User 8274615890 changed name from ✨️ to Elena🎀,neutral:neutral,0.8611617,0.0
354013,2388099820,tg_-1004336888423,2026-09-17 14:44:26,"Smash Pyq 2027
1st class updated ✅ 📤 
Message to join @Rogeron7",neutral:neutral,0.7872677,0.0
354012,2388099820,tg_-1004336888423,2026-09-17 14:05:58,😭🥺,positive:approval,0.5963715,0.5963715
354011,2388099820,tg_-1004336888423,2026-09-17 13:38:23,,unprocessed,0.0,0.0
354010,2388099820,tg_-1004336888423,2026-09-17 13:38:23,,unprocessed,0.0,0.0
354009,2388099820,tg_-1004336888423,2026-09-17 13:38:22,Birthday Image aa Gayi 😍,positive:excitement,0.9474801,0.9474801
354008,2388099820,tg_-1004336888423,2026-09-17 13:36:40,HPSC PCS MAINS 2025 RESULT,neutral:neutral,0.82954353,0.0
354007,2388099820,tg_-1004336888423,2026-09-17 13:36:39,UPPSC PCS 2025 Main Exam Result Out,neutral:neutral,0.8712966,0.0
354004,2388099820,tg_300860929,2026-09-17 13:35:35,User 8021342212 changed name from Crime master gogo Dhaki chiki dha to Prince McLaren,neutral:neutral,0.8736696,0.0
354003,2388099820,tg_652599193,2026-09-17 13:35:01,Yes,positive:neutral,0.45536685,0.45536685
354001,2388099820,tg_300860929,2026-09-17 13:28:55,User 8861799497 changed username from Iqra_80 to Iqra_69,neutral:neutral,0.9236297,0.0
354000,2388099820,tg_300860929,2026-09-17 13:28:55,User 8861799497 changed name from <link> to ɪǫʀᴀ 🕊️,neutral:neutral,0.910968,0.0
353999,2388099820,tg_1095261624,2026-09-17 13:19:19,oh achha thik h bhai thank you!,positive:gratitude,0.6082361,0.6082361
353998,2388099820,tg_5222202542,2026-09-17 13:18:46,"Offline to yar muje tbh idea nahi but sunya ias try kr sakte ho I have studied from them offline as I'm from delhi to maine thoda bahut inse padha hai baki to I guess mujse better and experience log hai yaha jo offline ke lie guide kr sakte hai
But ek try de sakte ho sunya ias ko you won't regret",positive:neutral,0.36059934,0.36059934
353997,2388099820,tg_1095261624,2026-09-17 13:17:15,"oh okay thanks for this
but jaise offline coaching lena ho to kiska best rahega?",neutral:gratitude,0.7222803,0.0
353996,2388099820,tg_5222202542,2026-09-17 13:16:04,"You can refer Sleepy classes for basic and indepth  understanding of the topics and afterwards you can use nitin sangwan sociology book 2nd edition ( iske alawa koi aur resource nahi ) and jaise jaise apko subject ki knowledge hoti jaegi ap apne notes khud refine krte rehna time to time 
And start solving pyq sociology me repeat hote hai questions to pyq se bahut achi practice hogi",neutral:neutral,0.40088406,0.0
353995,2388099820,tg_1714166353,2026-09-17 12:57:38,Muje be,neutral:neutral,0.73739934,0.0
